date,n,spearman_news_turnover,top_decile_overlap
2000-06-30,94,0.007496257481315156,0.2222222222222222
2000-07-31,93,-0.071104580511209,0.2222222222222222
2000-08-31,92,-0.059511556981901706,0.2222222222222222
2000-10-31,93,-0.0691723447999643,0.3333333333333333
2000-11-30,91,-0.04157186617262075,0.2222222222222222
2001-01-31,94,-0.08493597561025774,0.2222222222222222
2001-02-28,91,-0.09783864004411076,0.2222222222222222
2001-04-30,93,-0.10755911929448804,0.1111111111111111
2001-05-31,93,-0.08766837816989394,0.2222222222222222
2001-07-31,91,0.029926093917250245,0.1111111111111111
2001-08-31,90,-0.08916941820506345,0.1111111111111111
2001-10-31,96,-0.07032066195586525,0.2222222222222222
2001-11-30,97,0.009072248940765443,0.2222222222222222
2002-01-31,100,-0.06607746646673181,0.2
2002-02-28,102,-0.07282690326692352,0.2
2002-04-30,98,-0.11013347538045026,0.2222222222222222
2002-05-31,103,-0.023511496083673103,0.2
2002-07-31,102,-0.14753992129803462,0.2
2002-09-30,103,-0.14168870450334697,0.2
2002-10-31,104,0.0852350462982832,0.1
2003-02-28,103,-0.0398797404130002,0.2
2003-03-31,105,0.12446606589909562,0.2
2003-04-30,106,-0.11607640547719325,0.2
2003-06-30,112,-0.061155898148932256,0.18181818181818182
2003-07-31,111,-0.047582319839470255,0.18181818181818182
2003-09-30,110,-0.12427919631716984,0.09090909090909091
2003-10-31,110,-0.12022747237022471,0.18181818181818182
2004-03-31,108,-0.09086580780060849,0.1
2004-04-30,106,-0.16993363877045065,0.1
2004-05-31,111,-0.07474961621529543,0.09090909090909091
2004-06-30,108,0.006989022678930295,0.1
2004-08-31,104,-0.028116044272036483,0.2
2004-09-30,109,-0.04538928798809186,0.2
2004-11-30,107,-0.08547892305027768,0.1
2005-01-31,111,0.024794487655533805,0.09090909090909091
2005-02-28,110,-0.11066223712056311,0.09090909090909091
2005-03-31,107,-0.12850746936611218,0.2
2005-05-31,110,-0.13467249776124074,0.09090909090909091
2005-06-30,104,-0.1750207993352581,0.1
2005-08-31,106,-0.056978111898603516,0.0
2005-09-30,110,-0.07705188128721673,0.09090909090909091
2005-10-31,107,-0.12720066500274557,0.1
2005-11-30,106,-0.16805523440749698,0.1
2006-01-31,111,-0.037853338938532835,0.09090909090909091
2006-02-28,111,0.1371266333103137,0.18181818181818182
2006-03-31,110,0.168810680247856,0.18181818181818182
2006-06-30,115,0.09555863760276884,0.09090909090909091
2006-07-31,115,0.09354934533280784,0.09090909090909091
2006-08-31,116,0.05489084766045152,0.09090909090909091
2006-10-31,119,0.023998065865668706,0.09090909090909091
2006-11-30,116,-0.04212485128709527,0.0
2007-01-31,117,0.06439270260113009,0.09090909090909091
2007-02-28,114,0.006207682494257874,0.09090909090909091
2007-04-30,121,-0.018928536404653147,0.08333333333333333
2007-05-31,121,-0.000486138111719085,0.08333333333333333
2007-07-31,116,-0.0657503637418465,0.0
2007-08-31,122,0.009850220003343476,0.08333333333333333
2007-10-31,113,0.029529314616650284,0.0
2007-11-30,118,0.019924325913466767,0.0
2008-01-31,120,-0.05637646754364939,0.0
2008-02-29,121,0.039559821193747166,0.0
2008-03-31,123,0.0038729972799884096,0.08333333333333333
2008-04-30,122,0.022236139283604264,0.16666666666666666
2008-06-30,124,0.079298093976698,0.08333333333333333
2008-07-31,125,0.17644666547088747,0.16666666666666666
2008-09-30,124,0.17718116587693097,0.08333333333333333
2008-10-31,126,0.0897748847475639,0.16666666666666666
2009-03-31,126,0.09772663653563202,0.16666666666666666
2009-04-30,126,0.12962083557812337,0.08333333333333333
2009-06-30,130,-0.00034204116907425185,0.07692307692307693
2009-07-31,126,0.030580943268466353,0.0
2009-08-31,132,0.11798413610382896,0.0
2009-09-30,128,0.05817122502779606,0.08333333333333333
2009-11-30,129,0.09562197659228534,0.0
2010-03-31,128,0.0596985155484122,0.08333333333333333
2010-04-30,128,0.015315774383086832,0.0
2010-05-31,132,0.05508572762071203,0.0
2010-06-30,131,0.04059537733231138,0.0
2010-08-31,135,0.06056311500947607,0.07692307692307693
2010-09-30,131,0.044475497513584365,0.0
2010-11-30,132,0.1353115686272392,0.15384615384615385
2011-01-31,134,0.08555902239462516,0.07692307692307693
2011-02-28,129,-0.07467904159099863,0.0
2011-03-31,135,-0.045957621514496436,0.07692307692307693
2011-05-31,138,0.10463132181728264,0.0
2011-06-30,138,0.08716787321665816,0.07692307692307693
2011-08-31,139,0.0756537396038312,0.15384615384615385
2011-09-30,142,0.057427302396643544,0.07142857142857142
2011-10-31,140,0.05202024620148258,0.0
2011-11-30,140,0.026328273369672514,0.07142857142857142
2012-01-31,144,0.041964497673323976,0.07142857142857142
2012-02-29,143,-0.1265323829647527,0.0
2012-04-30,144,-0.014084827687058373,0.14285714285714285
2012-05-31,146,-0.04041899419962956,0.07142857142857142
2012-07-31,141,0.061170080332454135,0.0
2012-08-31,146,0.07987523900989232,0.07142857142857142
2012-10-31,141,-0.031087693519714528,0.07142857142857142
2012-11-30,144,0.06199943731499903,0.0
2013-01-31,143,-0.00407110473400106,0.07142857142857142
2013-02-28,142,0.04264657837826266,0.0
2013-04-30,146,-0.00797957723356685,0.07142857142857142
2013-05-31,142,0.057538977729571804,0.07142857142857142
2013-07-31,145,0.024378036421199824,0.0
2013-09-30,149,-0.0724601650150668,0.07142857142857142
2013-10-31,146,-0.015161998409230406,0.0
2014-02-28,144,-0.14528092444151075,0.07142857142857142
2014-03-31,148,-0.01942065017244879,0.07142857142857142
2014-04-30,150,-0.12332760472046482,0.0
2014-06-30,150,0.04955554819208712,0.06666666666666667
2014-07-31,152,0.01860939838544095,0.06666666666666667
2014-09-30,149,0.030020546005071223,0.0
2014-10-31,150,0.025971553048069442,0.06666666666666667
2015-03-31,152,-0.12306136210193196,0.0
2015-04-30,149,-0.02153951875334911,0.0
2015-06-30,155,-0.033639759154534446,0.0
2015-07-31,154,-0.016744812628970023,0.0
2015-08-31,150,0.052404905694378244,0.06666666666666667
2015-09-30,151,-0.0039655215767760744,0.0
2015-11-30,155,-0.15213261737349665,0.0
2016-02-29,157,-0.0377573279561492,0.0
2016-03-31,156,0.03930355555059177,0.06666666666666667
2016-05-31,156,-0.07264530507115026,0.13333333333333333
2016-06-30,156,-0.009852765327694897,0.06666666666666667
2016-08-31,157,-0.15848140107133718,0.06666666666666667
2016-09-30,157,-0.09061529638297788,0.0
2016-10-31,156,-0.17173546953652374,0.0
2016-11-30,160,-0.06565391134979495,0.0
2017-01-31,157,-0.09483402656268963,0.06666666666666667
2017-02-28,159,-0.03250452782076102,0.06666666666666667
2017-03-31,159,-0.01189273661327242,0.06666666666666667
2017-05-31,159,0.010783083623592149,0.06666666666666667
2017-06-30,163,-0.1283498876865117,0.0
2017-07-31,160,-0.03277851702545021,0.0625
2017-08-31,157,-0.0008591785168345363,0.0
2017-10-31,157,-0.0904245752668029,0.0
2017-11-30,165,-0.07745950717761138,0.0
2018-01-31,167,-0.0050328343647258085,0.125
2018-02-28,168,0.08704427564114743,0.0625
2018-04-30,171,-0.09851012449090354,0.0
2018-05-31,162,-0.17435935058319907,0.0625
2018-07-31,171,-0.17639729104435686,0.058823529411764705
2018-08-31,168,-0.08327121630033542,0.0625
2018-10-31,171,-0.06606661675238287,0.058823529411764705
2018-11-30,171,-0.1330677356065966,0.058823529411764705
2019-01-31,166,-0.14252376031099093,0.0625
2019-02-28,173,-0.1559499173248847,0.11764705882352941
2019-04-30,176,-0.06337174364156963,0.058823529411764705
2019-05-31,173,-0.009201019087836531,0.058823529411764705
2019-07-31,176,-0.13276980611362568,0.058823529411764705
2019-09-30,180,-0.13857665235388483,0.05555555555555555
2019-10-31,171,-0.09787413867277142,0.058823529411764705
2020-01-31,177,-0.14910806830741313,0.0
2020-03-31,177,0.0861275597122771,0.0
2020-06-30,179,-0.062213576723204496,0.058823529411764705
2020-07-31,181,-0.10251277101054607,0.0
2020-08-31,181,-0.028928797384978267,0.0
2020-11-30,182,-0.1706408232918551,0.05555555555555555
2021-03-31,184,-0.03387909142081001,0.05555555555555555
2021-04-30,185,-0.1925632708468113,0.0
2021-05-31,186,-0.23530291226047134,0.1111111111111111
2021-06-30,187,-0.2955884193186351,0.0
2021-08-31,188,-0.16948827547851902,0.0
2021-09-30,185,-0.14473914210927227,0.05555555555555555
2021-11-30,182,-0.14822678895958255,0.0
2022-02-28,185,-0.011703057293157893,0.05555555555555555
2022-03-31,191,0.008679020406967448,0.05263157894736842
2022-05-31,194,-0.14590918303186992,0.0
2022-06-30,189,-0.05652394400609023,0.0
2022-08-31,192,-0.17959683419231232,0.05263157894736842
2022-09-30,191,-0.14930450024578032,0.10526315789473684
2022-10-31,195,-0.06759137206208948,0.05263157894736842
2022-11-30,194,-0.0672262669714031,0.10526315789473684
2023-01-31,189,-0.11786555443038207,0.05555555555555555
2023-02-28,190,-0.11697933460513583,0.05263157894736842
2023-03-31,187,-0.02372614293243346,0.0
2023-05-31,192,-0.07769499751005572,0.05263157894736842
2023-06-30,189,-0.09356023687632131,0.0
2023-07-31,189,-0.1752393526638532,0.0
2023-08-31,187,-0.11679621516994759,0.0
2023-10-31,189,-0.0491648641295619,0.0
2023-11-30,190,-0.11030002923297094,0.0
2024-01-31,189,-0.13240652581730442,0.0
2024-02-29,190,0.09949418537455222,0.0
2024-04-30,186,0.020222509716050923,0.05555555555555555
2024-05-31,194,0.016131678267930157,0.0
2024-07-31,195,0.0063059383911251085,0.05263157894736842
2024-09-30,197,-0.05733454093012552,0.05263157894736842
2024-10-31,195,0.013218394259029683,0.0
2025-01-31,195,0.01243813686910583,0.10526315789473684
2025-02-28,199,-0.02177668132040666,0.0
2025-03-31,200,0.004536876957339393,0.05
2025-04-30,200,0.02867177853208465,0.05
