date,stability_return,mean_vote,selected_models
1999-12-28,,,0
2000-01-31,,,0
2000-02-29,,,0
2000-03-31,,,0
2000-04-28,,,0
2000-05-31,,,0
2000-06-30,,,0
2000-07-31,,,0
2000-08-31,-0.18311937087760022,13.266666666666667,315
2000-09-29,-0.24237920590850326,15.133333333333333,287
2000-10-31,0.023504097710522177,14.7,297
2000-11-30,-0.025014755622273184,13.8,320
2000-12-26,0.4963966436039072,13.666666666666666,317
2001-01-31,0.0675227837922462,14.966666666666667,322
2001-02-28,-0.12427074478719163,12.866666666666667,333
2001-03-30,0.004498632766215161,13.2,332
2001-04-30,0.24617513878496827,14.9,321
2001-05-31,-0.060084772526496785,13.7,337
2001-06-29,-0.06751403075767691,14.133333333333333,328
2001-07-31,0.0688447877981621,13.766666666666667,324
2001-08-31,-0.28776218201948206,14.6,317
2001-09-28,0.19860842281194674,13.2,324
2001-10-31,0.005874788856836133,16.933333333333334,320
2001-11-30,-0.11613111141708767,14.966666666666667,322
2001-12-28,-0.028442566807294005,15.433333333333334,304
2002-01-31,-0.16083899444926178,14.333333333333334,332
2002-02-28,0.013472397317782806,13.933333333333334,328
2002-03-29,-0.061182600760503324,14.033333333333333,331
2002-04-30,-0.006906397726544503,12.866666666666667,328
2002-05-31,-0.2257582152959006,12.466666666666667,344
2002-06-28,0.06373484075485063,13.166666666666666,334
2002-07-31,-0.020995079425234008,13.233333333333333,332
2002-08-30,-0.24630659353294343,15.566666666666666,323
2002-09-30,0.11771481007777636,15.133333333333333,304
2002-10-31,-0.007225179035540578,14.633333333333333,315
2002-11-29,-0.13091975265124725,14.7,314
2002-12-30,0.055788006887697264,13.233333333333333,328
2003-01-30,-0.03183437357215552,13.366666666666667,334
2003-02-28,-0.27804049245280266,13.9,332
2003-03-31,0.10455886827749429,13.6,316
2003-04-30,0.11301478441704925,13.466666666666667,333
2003-05-30,0.039739048989787404,13.4,341
2003-06-30,-0.05360509663620054,13.233333333333333,344
2003-07-31,-0.11392060216930203,13.1,344
2003-08-29,-0.05730601751470439,14.766666666666667,327
2003-09-30,0.15372489954191468,12.566666666666666,340
2003-10-31,-0.06841099496443723,13.8,328
2003-11-28,0.005485569016957307,14.466666666666667,324
2003-12-30,0.03842061336529193,14.033333333333333,320
2004-01-30,-0.10663659772937903,14.7,323
2004-02-27,0.026139526154218003,16.233333333333334,298
2004-03-31,0.1514108086283039,17.0,306
2004-04-30,-0.048450309535522935,14.2,328
2004-05-31,0.21509973892237383,14.833333333333334,313
2004-06-30,-0.16919342431333234,13.866666666666667,313
2004-07-30,0.0729676313098395,16.633333333333333,307
2004-08-31,-0.09370195136157254,13.833333333333334,332
2004-09-30,-0.04856343499206114,14.333333333333334,315
2004-10-29,0.18890182077889858,15.1,308
2004-11-30,-0.08778378994815667,14.233333333333333,316
2004-12-30,0.37206351349007105,15.3,314
2005-01-31,0.11302569334374686,13.566666666666666,341
2005-02-28,-0.05637684306293932,14.033333333333333,305
2005-03-31,-0.0586090743311761,14.7,303
2005-04-29,0.2675790986196027,13.9,298
2005-05-31,0.29180750347032863,13.133333333333333,308
2005-06-30,0.15618386725754488,13.733333333333333,315
2005-07-29,-0.12247232720770945,14.4,321
2005-08-31,0.13929394592699026,13.566666666666666,305
2005-09-30,0.04917878626189206,13.866666666666667,308
2005-10-31,0.17459463985904075,13.933333333333334,306
2005-11-30,-0.07998586743334721,13.933333333333334,312
2005-12-29,0.010767672238218695,13.366666666666667,312
2006-01-31,-0.04883299135793801,12.666666666666666,333
2006-02-28,-0.008648085177679173,13.266666666666667,310
2006-03-31,0.06357512771879208,13.933333333333334,312
2006-04-28,-0.0905450549667567,13.6,308
2006-05-30,-0.01337756602549605,14.366666666666667,298
2006-06-30,-0.10997569046565303,13.466666666666667,309
2006-07-31,-0.10509025239732091,13.733333333333333,311
2006-08-31,0.20620939571709307,14.5,301
2006-09-29,-0.02200454559757481,12.633333333333333,339
2006-10-31,-0.024623489817111547,13.433333333333334,314
2006-11-30,-0.09289881520100746,13.466666666666667,313
2006-12-28,0.035727255915745285,14.8,293
2007-01-31,0.020929905191236216,13.966666666666667,303
2007-02-28,0.13358572277581668,14.433333333333334,302
2007-03-30,0.00037557173471366816,13.7,318
2007-04-30,0.12526044678316456,14.966666666666667,304
2007-05-31,-0.021950537910682282,12.833333333333334,311
2007-06-29,0.1238815041890448,13.2,306
2007-07-31,0.011891947474959442,13.3,295
2007-08-31,-0.07541572531932722,12.9,309
2007-09-28,0.020583700215846212,13.366666666666667,293
2007-10-31,-0.07546313285742269,13.5,284
2007-11-30,-0.14195176695972875,12.733333333333333,312
2007-12-28,-0.07470344429635148,14.0,289
2008-01-31,0.01747753674496853,13.633333333333333,311
2008-02-29,-0.11243284293800607,13.233333333333333,293
2008-03-31,0.001535168499455042,14.033333333333333,275
2008-04-30,0.1392871031104825,14.3,298
2008-05-30,-0.06929709722462425,13.666666666666666,317
2008-06-30,0.037054208474666214,15.0,312
2008-07-31,-0.2285343968374542,13.6,332
2008-08-29,-0.20969286628534153,13.833333333333334,328
2008-09-30,-0.4365889103645863,14.7,311
2008-10-31,0.07966898209695625,15.066666666666666,283
2008-11-28,0.019668702622240578,13.966666666666667,294
2008-12-30,0.04533322953885165,14.566666666666666,285
2009-01-30,0.15963029201886528,16.133333333333333,286
2009-02-27,-0.03826643202433382,13.7,317
2009-03-31,0.3296956953254288,15.5,277
2009-04-30,0.09487137837417571,13.8,312
2009-05-29,-0.1825606937463596,13.266666666666667,338
2009-06-30,0.008857803344920116,13.266666666666667,313
2009-07-31,-0.06705634143544982,13.7,331
2009-08-31,-0.1025746481084959,13.766666666666667,313
2009-09-30,-0.0967141217005054,13.933333333333334,314
2009-10-30,-0.1702525459862213,14.633333333333333,324
2009-11-30,0.14372585245950437,14.3,315
2009-12-30,-0.14570995133321338,14.033333333333333,315
2010-01-29,0.015493997501457484,14.766666666666667,333
2010-02-26,-0.06809699419998617,14.233333333333333,319
2010-03-31,-0.23694577911591688,16.333333333333332,291
2010-04-30,-0.09003599756376147,13.9,337
2010-05-31,0.084407838906549,13.266666666666667,336
2010-06-30,0.04257902627399321,13.866666666666667,336
2010-07-30,-0.09694953319263346,14.266666666666667,333
2010-08-31,0.020541894922632236,15.133333333333333,334
2010-09-30,0.03057357133701421,14.333333333333334,325
2010-10-29,0.0060834457043718,13.533333333333333,338
2010-11-30,-0.01965029082876456,12.966666666666667,323
2010-12-30,0.06823975601192418,15.333333333333334,306
2011-01-31,-0.10402495305515168,13.666666666666666,323
2011-02-28,-0.031043011607044552,14.733333333333333,311
2011-03-31,-0.09950932963262232,14.466666666666667,322
2011-04-29,-0.07267966533316615,14.433333333333334,337
2011-05-31,0.05443863146071879,14.866666666666667,323
2011-06-30,0.17342580097558505,12.966666666666667,326
2011-07-29,-0.1086545243109101,13.666666666666666,342
2011-08-31,-0.1362443669958108,13.4,344
2011-09-30,0.1610073333982922,13.333333333333334,327
2011-10-31,0.0033903571601951086,13.866666666666667,326
2011-11-30,0.013798179069296994,15.3,321
2011-12-29,0.11619149108480459,13.133333333333333,330
2012-01-31,0.07120236670450683,13.8,353
2012-02-29,-0.06555107408046265,13.633333333333333,341
2012-03-30,-0.18506923284728102,14.466666666666667,324
2012-04-30,-0.03723582009588275,14.333333333333334,319
2012-05-31,0.08327955152958712,13.633333333333333,316
2012-06-29,-0.06528515432270537,14.0,320
2012-07-31,0.09478678844546673,13.466666666666667,326
2012-08-31,-0.07140896771668594,14.633333333333333,320
2012-09-28,-0.04084067284488661,14.6,311
2012-10-31,-0.08260430687499344,14.366666666666667,321
2012-11-30,0.03431850650176946,14.766666666666667,327
2012-12-28,0.12013838204504522,12.7,326
2013-01-31,0.013309782708919667,12.833333333333334,346
2013-02-28,0.018523049608781934,13.5,346
2013-03-29,-0.07637973357297206,14.7,329
2013-04-30,0.19627999314430256,13.366666666666667,343
2013-05-31,-0.12783748352265314,12.866666666666667,347
2013-06-28,0.11227488496437246,13.633333333333333,335
2013-07-31,-0.1142278640903319,13.9,336
2013-08-30,0.11026583499518482,14.633333333333333,321
2013-09-30,-0.08277356647148934,13.466666666666667,341
2013-10-31,-0.03941834936950428,15.433333333333334,321
2013-11-29,-0.05943453240591543,13.4,329
2013-12-30,0.062246473774732074,14.166666666666666,323
2014-01-29,0.03687628249429502,13.2,326
2014-02-28,-0.029946271495563042,13.166666666666666,337
2014-03-31,-0.03062914081871692,15.4,324
2014-04-30,0.020344583657063393,14.833333333333334,334
2014-05-30,-0.05887805405219486,12.833333333333334,340
2014-06-30,0.06160592744890107,13.433333333333334,326
2014-07-31,0.08804816429542224,13.366666666666667,338
2014-08-29,-0.026089328140121493,13.166666666666666,337
2014-09-30,-0.09881710949276516,14.5,339
2014-10-31,0.010111894567285729,14.833333333333334,321
2014-11-28,-0.037998751685063066,12.8,330
2014-12-30,0.1001086511683273,13.966666666666667,327
2015-01-30,0.0382646688449586,13.0,342
2015-02-27,0.06583286225611303,13.666666666666666,325
2015-03-31,0.060311850335761405,15.166666666666666,310
2015-04-30,-0.011150081011441418,12.7,348
2015-05-29,0.009641879251964473,12.7,357
2015-06-30,-0.02260529067926253,13.266666666666667,330
2015-07-31,-0.03986983984806203,13.3,344
2015-08-31,0.03664568903398349,13.533333333333333,336
2015-09-30,0.0951728253865833,12.966666666666667,342
2015-10-30,0.0759577544521494,13.466666666666667,352
2015-11-30,-0.08703966998814347,13.366666666666667,354
2015-12-30,0.013891954057626199,14.5,323
2016-01-29,-0.0748382081932864,12.5,347
2016-02-29,0.19340505982576334,13.333333333333334,356
2016-03-31,-0.019551900911998557,13.366666666666667,361
2016-04-29,0.07226069388632866,13.166666666666666,367
2016-05-31,0.009923507023771394,13.633333333333333,360
2016-06-30,-0.00852936059098235,14.033333333333333,341
2016-07-29,-0.05673827923454312,13.766666666666667,345
2016-08-31,0.002168808756198167,14.1,330
2016-09-30,-0.10838091630497493,13.566666666666666,324
2016-10-31,0.00483279907408997,13.666666666666666,328
2016-11-30,0.03201265754872973,12.433333333333334,336
2016-12-29,0.022689980679527787,13.633333333333333,339
2017-01-31,-0.159061840263794,13.2,351
2017-02-28,0.032318498834546815,13.733333333333333,320
2017-03-31,-0.06343549627813087,15.566666666666666,311
2017-04-28,-0.03409678704559823,14.066666666666666,339
2017-05-31,-0.0766319759207231,12.933333333333334,360
2017-06-30,-0.035471020214265535,13.533333333333333,351
2017-07-31,0.052337807944977326,15.666666666666666,308
2017-08-31,-0.12872832658407007,14.266666666666667,338
2017-09-29,0.022064538755463544,14.333333333333334,338
2017-10-31,0.10314583023487701,13.266666666666667,365
2017-11-30,0.08845935249236622,13.0,379
2017-12-28,0.2399550589566934,12.5,366
2018-01-31,-0.07601703448083443,12.733333333333333,392
2018-02-28,0.12443535679824978,13.266666666666667,367
2018-03-30,0.025798424607592272,12.933333333333334,381
2018-04-30,-0.036640620784319025,12.266666666666667,385
2018-05-31,-0.1080335580840995,12.433333333333334,389
2018-06-29,-0.06958747856867786,13.366666666666667,358
2018-07-31,0.04116209452052362,12.866666666666667,355
2018-08-31,-0.03731052559005237,13.133333333333333,363
2018-09-28,-0.20610076754258305,13.533333333333333,361
2018-10-31,0.05885430330852208,12.466666666666667,366
2018-11-30,-0.04373328979806557,13.0,365
2018-12-28,0.07363696298149006,14.2,344
2019-01-31,-0.09365735570474687,12.766666666666667,349
2019-02-28,0.010962724187392065,14.2,344
2019-03-29,0.024034333795993203,13.333333333333334,347
2019-04-30,-0.03870326048024341,13.2,359
2019-05-31,0.16222535251348386,14.233333333333333,355
2019-06-28,-0.07527825603059987,13.6,339
2019-07-31,-0.06282719457227014,13.733333333333333,343
2019-08-30,-0.0565011885475286,13.866666666666667,349
2019-09-30,-0.10314752045081846,14.433333333333334,338
2019-10-31,0.012433860515180051,13.7,346
2019-11-29,0.04262801688950278,13.366666666666667,353
2019-12-30,-0.08659367721587045,13.666666666666666,362
2020-01-31,-0.14635950274610968,14.233333333333333,359
2020-02-28,-0.1284424661311106,13.9,343
2020-03-31,-0.018114427429659272,15.133333333333333,351
2020-04-29,0.15088931509605424,14.666666666666666,374
2020-05-29,-0.032946455981396894,13.5,397
2020-06-30,0.27901894134469984,13.233333333333333,383
2020-07-31,0.036348976610406016,13.2,385
2020-08-31,0.01642812283005791,13.333333333333334,389
2020-09-29,-0.09782145499707871,12.366666666666667,398
2020-10-30,0.09015371293729856,13.1,406
2020-11-30,-0.0292188642351061,12.733333333333333,397
2020-12-30,-0.09085904670326814,12.666666666666666,390
2021-01-29,0.011239861119482242,12.8,406
2021-02-26,-0.01961411231601396,13.2,392
2021-03-31,-0.005896055374675109,14.066666666666666,375
2021-04-30,0.035573675726528024,13.6,388
2021-05-31,0.028699644607823895,12.966666666666667,357
2021-06-30,-0.03680544538187044,14.966666666666667,363
2021-07-30,-0.09457535507502464,13.566666666666666,359
2021-08-31,-0.024007642961451477,14.666666666666666,337
2021-09-30,-0.10104210035085988,12.666666666666666,368
2021-10-29,-0.09861232943057087,13.166666666666666,375
2021-11-30,0.09206477883603152,12.833333333333334,382
2021-12-30,-0.20864680539377414,15.2,362
2022-01-28,-0.04074846516060462,14.266666666666667,369
2022-02-28,-0.01590037439232949,13.4,382
2022-03-31,-0.03960483174793428,13.7,361
2022-04-29,-0.035465389095277335,12.966666666666667,364
2022-05-31,-0.1530916424114999,13.166666666666666,371
2022-06-30,0.020772623546661317,13.466666666666667,371
2022-07-29,0.009067387586813181,14.933333333333334,350
2022-08-31,-0.061101984271378536,13.566666666666666,371
2022-09-30,0.041919045045694485,13.766666666666667,344
2022-10-31,0.05712096279747255,13.766666666666667,337
2022-11-30,-0.056032388783158395,13.466666666666667,364
2022-12-29,0.09899235053093915,13.633333333333333,340
2023-01-31,0.07773942543800366,14.166666666666666,344
2023-02-28,0.17214581581600574,13.266666666666667,347
2023-03-31,0.02306543473434854,13.966666666666667,348
2023-04-28,-0.02698304989563772,13.5,354
2023-05-31,-0.08097423228376029,12.966666666666667,355
2023-06-30,0.06200050299732632,12.7,379
2023-07-31,-0.04781998348121651,13.033333333333333,368
2023-08-31,-0.1388683116748552,12.766666666666667,379
2023-09-27,-0.17288649055108127,14.266666666666667,357
2023-10-31,0.07185826353030812,12.166666666666666,359
2023-11-30,-0.05050040892306642,13.166666666666666,358
2023-12-28,-0.038409087822412175,13.1,367
2024-01-31,0.11011231992583669,14.1,373
2024-02-29,0.05590713936955762,13.233333333333333,390
2024-03-29,-0.058998555682518564,13.733333333333333,387
2024-04-30,-0.01305966041228493,12.7,395
2024-05-31,0.01406448543444171,12.133333333333333,410
2024-06-28,0.04475545876385228,12.9,398
2024-07-31,-0.12549311648797654,13.233333333333333,401
2024-08-30,0.09420531399239561,13.133333333333333,398
2024-09-30,-0.11558901313350209,12.9,384
2024-10-31,-0.09978386484270924,13.366666666666667,385
2024-11-29,0.05736703918865886,12.2,402
2024-12-30,-0.05873029318452728,12.366666666666667,407
2025-01-31,0.0021261824462344998,13.633333333333333,404
2025-02-28,-0.1140328136314506,13.7,404
2025-03-31,0.053029703504662705,13.7,400
2025-04-30,-0.053740740864662094,13.033333333333333,404
2025-05-30,-0.012927599156269676,13.566666666666666,398
2025-06-30,-0.03553953989274369,12.766666666666667,412
2025-07-31,-0.041733312661886915,13.233333333333333,415
2025-08-29,0.015332331681370623,12.3,406
2025-09-30,0.013768663509795524,13.233333333333333,405
2025-10-31,-0.030751065925458492,13.066666666666666,409
2025-11-28,0.019109251382456862,12.366666666666667,394
2025-12-30,0.12508580585133972,12.6,394
2026-01-30,-0.012806750443646975,13.333333333333334,417
2026-02-27,-0.065301463462577,13.2,406
2026-03-31,0.1638886459007111,13.733333333333333,382
2026-04-30,0.01104894526014913,12.833333333333334,413
2026-05-04,,,0
