date,size_liquidity_rank_corr
2000-08-31,0.3816581219040177
2000-09-29,0.3291819960552999
2000-10-31,0.3333521314207376
2000-11-30,0.3464598764555559
2000-12-26,0.28039253401472625
2001-01-31,0.45670923918453993
2001-02-28,0.390598904273093
2001-03-30,0.2962377999443898
2001-04-30,0.3653183127095457
2001-05-31,0.3907111135139217
2001-06-29,0.36739703048786004
2001-07-31,0.33214969324937504
2001-08-31,0.3231721127369212
2001-09-28,0.3305527666430405
2001-10-31,0.3481066592762396
2001-11-30,0.37040169731606243
2001-12-28,0.40537451352828474
2002-01-31,0.4387570224284559
2002-02-28,0.39626851096222704
2002-03-29,0.4028757762816962
2002-04-30,0.372138023000411
2002-05-31,0.3430274419226413
2002-06-28,0.3192879190936509
2002-07-31,0.32560031153263624
2002-08-30,0.2820016786718455
2002-09-30,0.23768911299856121
2002-10-31,0.2650292781988988
2002-11-29,0.26463540099576993
2002-12-30,0.20812124975509133
2003-01-30,0.22418070847616986
2003-02-28,0.24978775800205927
2003-03-31,0.26959269249835477
2003-04-30,0.2832077680211132
2003-05-30,0.2959059159311289
2003-06-30,0.2961205016677852
2003-07-31,0.25715900665375535
2003-08-29,0.31180697641095595
2003-09-30,0.3162077928365205
2003-10-31,0.30757799708087524
2003-11-28,0.3178563818637156
2003-12-30,0.3047813772525292
2004-01-30,0.31866548543348666
2004-02-27,0.29434913635427573
2004-03-31,0.3052708647233884
2004-04-30,0.31273349155820424
2004-05-31,0.3127209439853296
2004-06-30,0.3084589475277628
2004-07-30,0.26221458087858823
2004-08-31,0.3130886095088076
2004-09-30,0.3132810954876613
2004-10-29,0.33640674864026804
2004-11-30,0.3335939186498544
2004-12-30,0.32024819494438944
2005-01-31,0.3093289852661651
2005-02-28,0.2961437935456562
2005-03-31,0.3261622156479663
2005-04-29,0.24634743504452575
2005-05-31,0.22791590917187313
2005-06-30,0.27505882620183025
2005-07-29,0.269261535158435
2005-08-31,0.23757443941356846
2005-09-30,0.27577544724482644
2005-10-31,0.2627722540818648
2005-11-30,0.2408328808055529
2005-12-29,0.21891232519310996
2006-01-31,0.2952109068237402
2006-02-28,0.29612547364385566
2006-03-31,0.25536224146133785
2006-04-28,0.24908111152201487
2006-05-30,0.27026253046457405
2006-06-30,0.3011556188989415
2006-07-31,0.2866627558954968
2006-08-31,0.287789525242837
2006-09-29,0.28286136458225786
2006-10-31,0.2661824757355701
2006-11-30,0.2593577501211757
2006-12-28,0.24946514167971245
2007-01-31,0.20283625657309481
2007-02-28,0.21863990914371895
2007-03-30,0.17699144087354693
2007-04-30,0.22843767555556316
2007-05-31,0.298237063931408
2007-06-29,0.3165292199135622
2007-07-31,0.3480590281415301
2007-08-31,0.31300685192253486
2007-09-28,0.2919168404542742
2007-10-31,0.3538223158061283
2007-11-30,0.3612786490555314
2007-12-28,0.3271369858248979
2008-01-31,0.30752519384816296
2008-02-29,0.28968574880449915
2008-03-31,0.2892952427695582
2008-04-30,0.2963273734819155
2008-05-30,0.3358461482367585
2008-06-30,0.31483914275432673
2008-07-31,0.33561713398443666
2008-08-29,0.2969419134726726
2008-09-30,0.3604367435539853
2008-10-31,0.36569406790410086
2008-11-28,0.38363638514577225
2008-12-30,0.3932305607159689
2009-01-30,0.39473598461320164
2009-02-27,0.35985327611671153
2009-03-31,0.4234792416191149
2009-04-30,0.4573835828347112
2009-05-29,0.4494652470610939
2009-06-30,0.4246494894960114
2009-07-31,0.441460321433954
2009-08-31,0.44448722946658326
2009-09-30,0.43170609168617774
2009-10-30,0.42877544635163434
2009-11-30,0.3775880855741711
2009-12-30,0.41766952395913826
2010-01-29,0.4293634485047919
2010-02-26,0.4128401572988666
2010-03-31,0.3446740153449866
2010-04-30,0.376192003013726
2010-05-31,0.4341529529700101
2010-06-30,0.4508071491955429
2010-07-30,0.429386392465747
2010-08-31,0.41386256554375034
2010-09-30,0.45141220073135063
2010-10-29,0.5112263396978233
2010-11-30,0.4733626081182524
2010-12-30,0.46220115197921224
2011-01-31,0.5003025395793084
2011-02-28,0.47480247789979435
2011-03-31,0.4952164119871755
2011-04-29,0.5086187497495385
2011-05-31,0.5079286146848386
2011-06-30,0.5070597224455909
2011-07-29,0.5223364103785331
2011-08-31,0.5425262615799683
2011-09-30,0.5073872475411491
2011-10-31,0.518027848341669
2011-11-30,0.5045906300691806
2011-12-29,0.49737999171920944
2012-01-31,0.47528384810639546
2012-02-29,0.4116873729065436
2012-03-30,0.3959500515634236
2012-04-30,0.4095470317138108
2012-05-31,0.38296846145925123
2012-06-29,0.3872608626035122
2012-07-31,0.3398273336908535
2012-08-31,0.42163450425466165
2012-09-28,0.40844808563069096
2012-10-31,0.4500733748574146
2012-11-30,0.4854928202165189
2012-12-28,0.4852514423399877
2013-01-31,0.4539205864193949
2013-02-28,0.45252038134407596
2013-03-29,0.4515665028979609
2013-04-30,0.47265228205333526
2013-05-31,0.43755626799694125
2013-06-28,0.44185972244821803
2013-07-31,0.46096239170027
2013-08-30,0.4435809426637587
2013-09-30,0.49086246194029576
2013-10-31,0.475083806485379
2013-11-29,0.4758708208496831
2013-12-30,0.47350044978751854
2014-01-29,0.46000017553456213
2014-02-28,0.47254315976817385
2014-03-31,0.4992670464017959
2014-04-30,0.47946337986733395
2014-05-30,0.4738108138527392
2014-06-30,0.5017776724683688
2014-07-31,0.48043130864370615
2014-08-29,0.5108790590407271
2014-09-30,0.5058295740067971
2014-10-31,0.5115861291990731
2014-11-28,0.5019455731963892
2014-12-30,0.496584639951944
2015-01-30,0.4845426683899088
2015-02-27,0.4613411033167554
2015-03-31,0.4349558511534781
2015-04-30,0.4905452150560659
2015-05-29,0.5362707386140682
2015-06-30,0.5069298756737848
2015-07-31,0.5182148440899655
2015-08-31,0.5400523380356248
2015-09-30,0.49336042539363195
2015-10-30,0.4278857050493445
2015-11-30,0.4470601114713093
2015-12-30,0.41037255629141894
2016-01-29,0.4635368215268856
2016-02-29,0.4873395863078555
2016-03-31,0.45228608255574365
2016-04-29,0.41677444280648995
2016-05-31,0.42882630333869354
2016-06-30,0.44095843300348064
2016-07-29,0.39687330982182595
2016-08-31,0.39996875522833025
2016-09-30,0.3651158431365123
2016-10-31,0.34817502559621577
2016-11-30,0.38552865074644266
2016-12-29,0.37346965859029857
2017-01-31,0.35740976089266613
2017-02-28,0.3679126193525366
2017-03-31,0.36110467449993394
2017-04-28,0.36355610308838826
2017-05-31,0.4466917818647548
2017-06-30,0.45981463929212335
2017-07-31,0.4218631655014219
2017-08-31,0.4469442553177668
2017-09-29,0.4229760574398304
2017-10-31,0.49760805768618693
2017-11-30,0.5313598765009396
2017-12-28,0.5005075504030719
2018-01-31,0.5300355205197197
2018-02-28,0.4824924484140804
2018-03-30,0.46126164573034306
2018-04-30,0.48558689167266067
2018-05-31,0.4666344558904729
2018-06-29,0.45614913504062343
2018-07-31,0.4804688144165732
2018-08-31,0.4781711708047783
2018-09-28,0.46018985347121144
2018-10-31,0.49574917951629127
2018-11-30,0.5111422214445575
2018-12-28,0.46902767307224197
2019-01-31,0.45418015513664123
2019-02-28,0.4392703787331654
2019-03-29,0.47321794556447133
2019-04-30,0.438835018384041
2019-05-31,0.45207484615756954
2019-06-28,0.4229399994470857
2019-07-31,0.41796807903865985
2019-08-30,0.4889955651136449
2019-09-30,0.4198080367372091
2019-10-31,0.45430750176520845
2019-11-29,0.4290079078676419
2019-12-30,0.4638087784158678
2020-01-31,0.4327089063288615
2020-02-28,0.43926481565989034
2020-03-31,0.5601729881785675
2020-04-29,0.5321794436607612
2020-05-29,0.5305931084413185
2020-06-30,0.5738144607760302
2020-07-31,0.5497083692618379
2020-08-31,0.59538429848886
2020-09-29,0.5286205820376614
2020-10-30,0.4841517549571637
2020-11-30,0.5521772777339159
2020-12-30,0.5496715762568063
2021-01-29,0.5488708662016379
2021-02-26,0.5200867159214785
2021-03-31,0.4885591050813752
2021-04-30,0.47818395866929264
2021-05-31,0.5184593856799977
2021-06-30,0.4334076600869824
2021-07-30,0.433343288525083
2021-08-31,0.5073184535301742
2021-09-30,0.5154602159015965
2021-10-29,0.5318482363605923
2021-11-30,0.5292405104984371
2021-12-30,0.5538565486823892
2022-01-28,0.46248236312836083
2022-02-28,0.5027076776326386
2022-03-31,0.4494179552834309
2022-04-29,0.4465335271112407
2022-05-31,0.45352299863846746
2022-06-30,0.5054885680934058
2022-07-29,0.47288091852676395
2022-08-31,0.4861108115520413
2022-09-30,0.49821056871372144
2022-10-31,0.4875516414794321
2022-11-30,0.5016783025866829
2022-12-29,0.5043637623810283
2023-01-31,0.4808908448985518
2023-02-28,0.4963652230325031
2023-03-31,0.575309401928137
2023-04-28,0.5423946591880344
2023-05-31,0.49738409384330146
2023-06-30,0.5053174420627647
2023-07-31,0.5903092754914492
2023-08-31,0.5906169524347472
2023-09-27,0.5525147120610521
2023-10-31,0.5502698861981361
2023-11-30,0.5687288886336934
2023-12-28,0.585906848111381
2024-01-31,0.5688536701485989
2024-02-29,0.6416954919119988
2024-03-29,0.625854298796675
2024-04-30,0.6343857796761695
2024-05-31,0.6516713658300785
2024-06-28,0.670550965427623
2024-07-31,0.6449129742151769
2024-08-30,0.6242420886008859
2024-09-30,0.6130251781194571
2024-10-31,0.6217241506740282
2024-11-29,0.6573473936536384
2024-12-30,0.6396478765419459
2025-01-31,0.6292268598638444
2025-02-28,0.6756015092660944
2025-03-31,0.6578647047397048
2025-04-30,0.5669048014192926
2025-05-30,0.6326195747255992
2025-06-30,0.705903033531322
2025-07-31,0.7117183474432323
2025-08-29,0.6766628404478703
2025-09-30,0.6767967163747485
2025-10-31,0.7000339906442491
2025-11-28,0.7289137012018084
2025-12-30,0.7376788124685498
2026-01-30,0.7394804868168458
2026-02-27,0.7524170095239889
2026-03-31,0.7440917783667251
2026-04-30,0.7133831203024196
